Name,ID
san salvador river (uruguay),Q1191119
luan river,Q1193523
luan he,Q1193523
pa sak river,Q1152315
mae nam pa sak,Q1152315
rio san juan,Q1152939
san juan,Q1152939
san juan river,Q1152939
ro san juan,Q1152939
san luis,Q1152947
san luis river,Q1152947
ro san luis,Q1152947
sergipe river,Q1153044
rio serjipe,Q1153044
nan river,Q1153522
mae nam nan,Q1153522
dads river,Q1156988
dades river,Q1156988
sebou,Q1129810
guigou river,Q1129810
asif n sbu,Q1129810
sebou river,Q1129810
kem river,Q1130713
kem',Q1130713
seoune,Q1130775
soune,Q1130775
bevera,Q1130785
bvra,Q1130785
erne,Q1130803
ernee,Q1130803
ceou,Q1130827
cou,Q1130827
horla,Q11799232
horle,Q11799232
orla,Q11799232
hurle,Q11799232
river wandle,Q1187
wandle,Q1187
nagaragawa,Q1194094
nagara-gawa,Q1194094
nagara river,Q1194094
mae nam mae klong,Q1194112
mae klong,Q1194112
edo river,Q1194505
edogawa-hsuiro,Q1194505
mae nam ta pi,Q1195715
tapi river,Q1195715
mezha river,Q1197635
mezha,Q1197635
vorkuta,Q1199347
vorkuta river,Q1199347
komadugu yobe,Q1199792
komadougou yob,Q1199792
komadougou yobe,Q1199792
yobe river,Q1199792
czarna wiseka,Q11017177
black vistula,Q11017177
christina river,Q11103025
christinafloden,Q11103025
mie,Q11104205
mianka,Q11104205
crume,Q1142580
crme,Q1142580
omolon,Q1142842
omolon river,Q1142842
ternin river,Q1143108
ternin,Q1143108
the fish river,Q1143836
fish river,Q1143836
neune,Q1141675
neun,Q1141675
kizugawa,Q11519216
kizu river,Q11519216
kizu-gawa,Q11519216
azusa-gawa,Q11538700
azusa river,Q11538700
azusagawa,Q11538700
sai river,Q11571106
saigawa river,Q11571106
sai-gawa,Q11571106
sai river,Q11571105
saigawa river,Q11571105
sai-gawa,Q11571105
shira river,Q11579688
shirakawa river,Q11579688
mae nam pran buri,Q1130888
pran buri river,Q1130888
valliere,Q1131936
vallire,Q1131936
jin river,Q1132092
jinjiang,Q1132092
rere,Q1132170
rre,Q1132170
luy de barn,Q1132368
luy de bearn,Q1132368
psyol,Q1133871
psel river,Q1133871
kawaura river,Q11478898
kawaura-gawa,Q11478898
hirose river,Q11485581
hirose-gawa,Q11485581
hikiji river,Q11487144
hikichi river,Q11487144
dong river,Q11610708
wei river,Q11610708
lei river,Q11610708
youshui,Q11643945
you shui,Q11643945
mabechi river,Q11668006
mabechi-gawa,Q11668006
biaa wiseka,Q11687913
white vistula,Q11687913
karpina,Q11736522
karpiner bach,Q11736522
areuse,Q111680
razdolnaya river,Q111852
donaldson river,Q112661
buckley river,Q113121
laisbach,Q114002
river ribble,Q114319
authion,Q114546
kokosing river,Q114629
kyanda,Q115231
shilka river,Q115456
kapuskasing river,Q116183
thringische muschwitz,Q116333
ishm,Q116808
haune,Q117440
madeira river,Q118251
barguelonne,Q118426
schwarzbach,Q118486
indravati river,Q118625
dives,Q118784
eurotas,Q119152
bendoc river,Q119353
lergue,Q119425
tille,Q119610
cottonwood river,Q119738
grundwasser,Q119897
lopva,Q1100264
chubuklinka,Q1101203
mudyl river,Q1101227
clignon,Q1101404
clitunno,Q1101868
cloncurry river,Q1102194
clough river,Q1102676
clyde river,Q1103708
clyde river,Q1103709
ambra,Q1103794
kara,Q1104502
cobark river,Q1104523
ybetsu river,Q1104640
cobbs creek,Q1104641
cobrabald river,Q1104782
cobungra river,Q1104797
cockeraga river,Q1105273
coeuvatte,Q1106741
wami river,Q1106820
nuyam,Q1106925
coghinas,Q1106976
mesurado river,Q1107151
coig river,Q1107158
coise,Q1107245
kochenga,Q1107417
malyy khomus-yuryakh,Q1107525
dekinde,Q1107530
rosta river,Q1107558
kirey,Q1107564
colagne,Q1107603
coldstream river,Q1107921
st. francis river,Q1108022
coleen river,Q1108030
coleman river,Q1108083
cherendey,Q1108080
motorchuna,Q1108173
bol'shaya yerma,Q1108176
bappagay river,Q1108187
bol'shaya khomus-yuryakh,Q1108208
omulyovka river,Q1108218
kon'kovaya,Q1108225
khobda,Q1108270
puya river,Q1108268
coliban river,Q1108274
nemnyuga river,Q1108285
chybyda,Q1108351
khara-ulakh,Q1108355
dyanyshka,Q1108362
kungus,Q1108368
katantsa,Q1108387
bol'shaya oyu,Q1108638
tunka,Q1108672
onot,Q1108680
atsa,Q1108689
khilkotoy,Q1108870
bryanka,Q1108908
argi,Q1108965
nora,Q1108974
bol'shaya,Q1109398
collie river,Q1109435
armu river,Q1109524
ichuveyem river,Q1109553
collins river,Q1109783
kotuykan river,Q1109784
gela,Q1110162
colmnitzbach,Q1110175
colmont,Q1110180
colombine,Q1110417
colon,Q1110542
arun river,Q1111197
pegtymel river,Q1111274
dubches,Q1111288
oya river,Q1111315
oloy river,Q1111329
colostre,Q1111884
ranova,Q1112013
nerussa,Q1112040
soyva,Q1112077
lemva,Q1112177
olym,Q1112194
bahr el zeraf,Q1112393
agitka,Q1112657
amazar,Q1112666
feisnitz,Q1112710
suma,Q1112816
marcaissonne,Q1112932
colville river,Q1113020
main river,Q1113275
bryanta,Q1113288
combienbar river,Q1113630
olimar chico river,Q1113844
hasenburger mhlenbach,Q1114583
vol',Q1114599
serb creek,Q1114734
httinger bach,Q1115531
zilim river,Q1115597
lyalya,Q1115669
bolaq,Q1115869
poggenbach,Q1116278
shchara river,Q1117401
ulba river,Q1118139
monocacy river,Q1118332
nesse,Q1119726
dirillo,Q1119765
dognon,Q1121191
compbach,Q1121398
river slaney,Q1122203
concord river,Q1124056
joyeuse,Q1124418
kozhva,Q1124537
niobrara river,Q1124558
conemaugh river,Q1124709
heidekampgraben berlin,Q1124741
meghna river,Q1125242
lignon du forez,Q1125496
lignon du velay,Q1125660
conie,Q1126058
conie,Q1126060
conneaut creek,Q1126177
lankesa,Q1126209
mulyanka river,Q1126328
connoquenessing creek,Q1126389
connors river,Q1126414
krka,Q1126509
conotton creek,Q1126550
kern river,Q1126662
drac,Q1127096
rance,Q1127173
petite creuse,Q1128383
serre,Q1128531
sormonne,Q1128949
meu,Q1129193
tardes,Q1129465
coolaburragundy river,Q1129676
coole,Q1129693
coolumbooka river,Q1129716
coongan river,Q1129763
cooplacurripa river,Q1129870
coosa river,Q1129913
cooum river,Q1129931
dive,Q1129962
great fish river,Q1130009
erythropotamos,Q1130114
seulles,Q1130130
mia,Q1130178
eau noire,Q1130269
fremont river,Q1130341
wieprz,Q1130403
vauvise,Q1130782
triouzoune,Q1130820
indrois,Q1130833
seugne,Q1131037
senouire,Q1131065
galaure,Q1131107
voire,Q1131114
coppename river,Q1131396
copper river,Q1131444
copperfield river,Q1131450
coppermine river,Q1131514
gesse,Q1131566
xar moron river,Q1131680
coquihalla river,Q1131692
smagne,Q1131783
togiak river,Q1131889
